num_atoms,num_res,load,process,run,total,pdbid
432,53,0.014209508895874023,0.0023949146270751953,0.33159828186035156,0.3482027053833008,4g3o
5902,758,0.10197257995605469,0.007724285125732422,0.11575913429260254,0.22545599937438965,5n0x
1401,165,0.04407334327697754,0.2110917568206787,0.03538870811462402,0.2905538082122803,6sie
2636,328,0.04461979866027832,0.003536701202392578,0.04723668098449707,0.09539318084716797,6d6m
2042,250,0.03405284881591797,0.07284879684448242,0.0367581844329834,0.1436598300933838,3o1e
8189,1079,0.1318199634552002,0.008914947509765625,0.15673184394836426,0.2974667549133301,1w0c
1768,237,0.03594541549682617,0.3205714225769043,0.035490989685058594,0.39200782775878906,6v1p
2492,314,0.04519057273864746,0.02504563331604004,0.044838666915893555,0.11507487297058105,1sz3
934,116,0.020727872848510742,0.07918715476989746,0.03511929512023926,0.13503432273864746,5pd3
2890,369,0.0527043342590332,0.0034492015838623047,0.051894426345825195,0.1080479621887207,3ot2
1693,214,0.03096938133239746,0.08593344688415527,0.03517651557922363,0.15207934379577637,5lqn
2024,265,0.03478837013244629,0.002801656723022461,0.03652358055114746,0.07411360740661621,1bue
397,19,0.012823104858398438,0.06758260726928711,0.03535270690917969,0.11575841903686523,4u6k
1838,162,0.04979085922241211,0.0024933815002441406,0.035375118255615234,0.08765935897827148,2mfc
2416,301,0.07921409606933594,0.0030603408813476562,0.043390750885009766,0.12566518783569336,6hp1
3396,439,0.05672478675842285,0.04232001304626465,0.061537981033325195,0.1605827808380127,5csr
4818,636,0.07582569122314453,0.06494808197021484,0.08825325965881348,0.22902703285217285,5b5u
6746,882,0.10532808303833008,0.09943199157714844,0.12724518775939941,0.33200526237487793,6cxl
1081,126,0.0226287841796875,0.06399250030517578,0.035831451416015625,0.1224527359008789,6jj6
1751,223,0.030439376831054688,0.0026769638061523438,0.035254716873168945,0.06837105751037598,3qrd
2601,327,0.04592776298522949,0.023330211639404297,0.04676389694213867,0.11602187156677246,2ims
1006,126,0.021138429641723633,0.0017940998077392578,0.03558230400085449,0.05851483345031738,5pql
4015,547,0.06204962730407715,0.004575014114379883,0.07329583168029785,0.13992047309875488,5szn
2607,330,0.04156184196472168,0.003457784652709961,0.04666018486022949,0.09167981147766113,5exv
3722,476,0.05852866172790527,0.048780202865600586,0.06743431091308594,0.1747431755065918,6ch2
3163,387,0.05282926559448242,0.1005859375,0.056975603103637695,0.21039080619812012,4l8b
2481,314,0.04514718055725098,0.08379149436950684,0.04464435577392578,0.1735830307006836,5ivc
2036,251,0.03449702262878418,0.0661306381225586,0.03648710250854492,0.1371147632598877,7jqg
3393,429,0.05501961708068848,0.028804302215576172,0.061551809310913086,0.14537572860717773,5uiw
1892,243,0.03646659851074219,0.10168719291687012,0.035661935806274414,0.17381572723388672,3e9d
6336,822,0.0994718074798584,0.006863832473754883,0.11818456649780273,0.22452020645141602,2zvv
2124,275,0.036237239837646484,0.23222565650939941,0.03787851333618164,0.30634140968322754,6bxs
1445,171,0.025073766708374023,0.06049799919128418,0.03519701957702637,0.12076878547668457,5o20
1131,137,0.03540825843811035,0.0018999576568603516,0.035680294036865234,0.07298851013183594,6uz5
3934,517,0.06555724143981934,0.004761457443237305,0.07166647911071777,0.14198517799377441,4tsm
3449,457,0.05591225624084473,0.0041599273681640625,0.06253671646118164,0.12260890007019043,2b1h
400,22,0.011357307434082031,0.0010914802551269531,0.03550839424133301,0.04795718193054199,165d
3422,440,0.05193495750427246,0.0039806365966796875,0.06196236610412598,0.11787796020507812,6a9k
3501,452,0.06284475326538086,0.07816386222839355,0.06348109245300293,0.20448970794677734,3ru6
3153,384,0.05152726173400879,0.09271097183227539,0.056853532791137695,0.20109176635742188,6npr
5042,647,0.07839679718017578,0.05225682258605957,0.09263420104980469,0.22328782081604004,2v7e
838,108,0.017429590225219727,0.19135141372680664,0.03512883186340332,0.2439098358154297,5c8h
2625,345,0.043527841567993164,0.0032377243041992188,0.047130584716796875,0.09389615058898926,1gif
1845,233,0.027723073959350586,0.07886600494384766,0.03513598442077637,0.1417250633239746,4gml
5033,622,0.08171200752258301,0.0055828094482421875,0.0923912525177002,0.1796860694885254,6ebz
4673,604,0.0716104507446289,0.13951969146728516,0.08553004264831543,0.2966601848602295,6r9m
1549,207,0.04883623123168945,0.14437651634216309,0.03551054000854492,0.22872328758239746,6rvo
2868,354,0.048902034759521484,0.009713888168334961,0.051520586013793945,0.11013650894165039,3hmv
2292,290,0.04030251502990723,0.07621169090270996,0.04132866859436035,0.15784287452697754,2x7w
3701,478,0.0610964298248291,0.033174753189086914,0.06711983680725098,0.161391019821167,3kwx
3572,469,0.059960365295410156,0.09301066398620605,0.06486797332763672,0.21783900260925293,2fqf
3290,432,0.05592632293701172,0.09160542488098145,0.05969977378845215,0.2072315216064453,1eyq
1464,186,0.027138948440551758,0.10637211799621582,0.03531813621520996,0.16882920265197754,3iug
5069,641,0.08727622032165527,0.0056231021881103516,0.09312009811401367,0.1860194206237793,4zq8
1900,256,0.03409862518310547,0.17685508728027344,0.03533458709716797,0.24628829956054688,5fgw
4203,555,0.06390833854675293,0.014441967010498047,0.0766763687133789,0.15502667427062988,1nob
281,35,0.023779869079589844,0.14758515357971191,0.03506040573120117,0.20642542839050293,2n1n
3071,395,0.0487065315246582,0.0036399364471435547,0.05529904365539551,0.10764551162719727,2pvo
1922,238,0.03705191612243652,0.0877218246459961,0.035204172134399414,0.15997791290283203,1exa
6636,824,0.10531449317932129,0.00720667839050293,0.12426280975341797,0.2367839813232422,3q5d
840,112,0.01735830307006836,0.2632763385772705,0.03523516654968262,0.3158698081970215,5m38
1416,178,0.030336618423461914,0.0019500255584716797,0.03525853157043457,0.06754517555236816,1f36
4348,534,0.07028555870056152,0.0048274993896484375,0.0794990062713623,0.15461206436157227,3epu
2573,332,0.0434725284576416,0.13598394393920898,0.04629874229431152,0.2257552146911621,3nmw
1950,251,0.03377866744995117,0.07046961784362793,0.03547024726867676,0.13971853256225586,4cdy
1134,142,0.035185813903808594,0.04311537742614746,0.035254716873168945,0.113555908203125,5yj5
